"","country","year","pop","continent","lifeExp","gdpPercap"
"217","Cambodia",1952,4693836,"Asia",39.417,368.4692856
"226","Cambodia",1997,11782962,"Asia",56.534,734.28517
"229","Cameroon",1952,5009067,"Africa",38.523,1172.667655
"238","Cameroon",1997,14195809,"Africa",52.199,1694.337469
"241","Canada",1952,14785584,"Americas",68.75,11367.16112
"250","Canada",1997,30305843,"Americas",78.61,28954.92589
"253","Central African Republic",1952,1291695,"Africa",35.463,1071.310713
"262","Central African Republic",1997,3696513,"Africa",46.066,740.5063317
"265","Chad",1952,2682462,"Africa",38.092,1178.665927
"274","Chad",1997,7562011,"Africa",51.573,1004.961353
"277","Chile",1952,6377619,"Americas",54.745,3939.978789
"286","Chile",1997,14599929,"Americas",75.816,10118.05318
"289","China",1952,556263527.999989,"Asia",44,400.448610699994
"298","China",1997,1230075000,"Asia",70.426,2289.234136
"301","Colombia",1952,12350771,"Americas",50.643,2144.115096
"310","Colombia",1997,37657830,"Americas",70.313,6117.361746
"313","Comoros",1952,153936,"Africa",40.715,1102.990936
"322","Comoros",1997,527982,"Africa",60.66,1173.618235
"325","Congo Dem. Rep.",1952,14100005,"Africa",39.143,780.5423257
"334","Congo Dem. Rep.",1997,47798986,"Africa",42.587,312.188423
"337","Congo Rep.",1952,854885,"Africa",42.111,2125.621418
"346","Congo Rep.",1997,2800947,"Africa",52.962,3484.164376
"349","Costa Rica",1952,926317,"Americas",57.206,2627.009471
"358","Costa Rica",1997,3518107,"Americas",77.26,6677.045314
"361","Cote d'Ivoire",1952,2977019,"Africa",40.477,1388.594732
"370","Cote d'Ivoire",1997,14625967,"Africa",47.991,1786.265407
"373","Croatia",1952,3882229,"Europe",61.21,3119.23652
"382","Croatia",1997,4444595,"Europe",73.68,9875.604515
"385","Cuba",1952,6007797,"Americas",59.421,5586.53878
"394","Cuba",1997,10983007,"Americas",76.151,5431.990415
"397","Czech Republic",1952,9125183,"Europe",66.87,6876.14025
"406","Czech Republic",1997,10300707,"Europe",74.01,16048.51424
"409","Denmark",1952,4334000,"Europe",70.78,9692.385245
"418","Denmark",1997,5283663,"Europe",76.11,29804.34567
"421","Djibouti",1952,63149,"Africa",34.812,2669.529475
"430","Djibouti",1997,417908,"Africa",53.157,1895.016984
"433","Dominican Republic",1952,2491346,"Americas",45.928,1397.717137
"442","Dominican Republic",1997,7992357,"Americas",69.957,3614.101285
"445","Ecuador",1952,3548753,"Americas",48.357,3522.110717
"454","Ecuador",1997,11911819,"Americas",72.312,7429.455877
"457","Egypt",1952,22223309,"Africa",41.893,1418.822445
"466","Egypt",1997,66134291,"Africa",67.217,4173.181797
"469","El Salvador",1952,2042865,"Americas",45.262,3048.3029
"478","El Salvador",1997,5783439,"Americas",69.535,5154.825496
"481","Equatorial Guinea",1952,216964,"Africa",34.482,375.6431231
"490","Equatorial Guinea",1997,439971,"Africa",48.245,2814.480755
"493","Eritrea",1952,1438760,"Africa",35.928,328.9405571
"502","Eritrea",1997,4058319,"Africa",53.378,913.47079
"505","Ethiopia",1952,20860941,"Africa",34.078,362.1462796
"514","Ethiopia",1997,59861301,"Africa",49.402,515.8894013
"517","Finland",1952,4090500,"Europe",66.55,6424.519071
"526","Finland",1997,5134406,"Europe",77.13,23723.9502
"529","France",1952,42459667,"Europe",67.41,7029.809327
"538","France",1997,58623428,"Europe",78.64,25889.78487
"541","Gabon",1952,420702,"Africa",37.003,4293.476475
"550","Gabon",1997,1126189,"Africa",60.461,14722.84188
"553","Gambia",1952,284320,"Africa",30,485.2306591
"562","Gambia",1997,1235767,"Africa",55.861,653.7301704
"565","Germany",1952,69145952,"Europe",67.5,7144.114393
"574","Germany",1997,82011073,"Europe",77.34,27788.88416
"577","Ghana",1952,5581001,"Africa",43.149,911.2989371
"586","Ghana",1997,18418288,"Africa",58.556,1005.245812
"589","Greece",1952,7733250,"Europe",65.86,3530.690067
"598","Greece",1997,10502372,"Europe",77.869,18747.69814
"601","Guatemala",1952,3146381,"Americas",42.023,2428.237769
"610","Guatemala",1997,9803875,"Americas",66.322,4684.313807
"613","Guinea",1952,2664249,"Africa",33.609,510.1964923
"622","Guinea",1997,8048834,"Africa",51.455,869.4497668
"625","Guinea-Bissau",1952,580653,"Africa",32.5,299.850319
"634","Guinea-Bissau",1997,1193708,"Africa",44.873,796.6644681
"637","Haiti",1952,3201488,"Americas",37.579,1840.366939
"646","Haiti",1997,6913545,"Americas",56.671,1341.726931
"649","Honduras",1952,1517453,"Americas",41.912,2194.926204
"658","Honduras",1997,5867957,"Americas",67.659,3160.454906
"661","Hong Kong China",1952,2125900,"Asia",60.96,3054.421209
"670","Hong Kong China",1997,6495918,"Asia",80,28377.63219
"673","Hungary",1952,9504000,"Europe",64.03,5263.673816
"682","Hungary",1997,10244684,"Europe",71.04,11712.7768
"685","Iceland",1952,147962,"Europe",72.49,7267.688428
"694","Iceland",1997,271192,"Europe",78.95,28061.09966
"697","India",1952,3.72e+08,"Asia",37.373,546.5657493
"706","India",1997,9.59e+08,"Asia",61.765,1458.817442
"709","Indonesia",1952,82052000,"Asia",37.468,749.6816546
"718","Indonesia",1997,199278000,"Asia",66.041,3119.335603
"721","Iran",1952,17272000,"Asia",44.869,3035.326002
"730","Iran",1997,63327987,"Asia",68.042,8263.590301
"733","Iraq",1952,5441766,"Asia",45.32,4129.766056
"742","Iraq",1997,20775703,"Asia",58.811,3076.239795
"745","Ireland",1952,2952156,"Europe",66.91,5210.280328
"754","Ireland",1997,3667233,"Europe",76.122,24521.94713
"757","Israel",1952,1620914,"Asia",65.39,4086.522128
"766","Israel",1997,5531387,"Asia",78.269,20896.60924
"769","Italy",1952,47666000,"Europe",65.94,4931.404155
"778","Italy",1997,57479469,"Europe",78.82,24675.02446
"781","Jamaica",1952,1426095,"Americas",58.53,2898.530881
"790","Jamaica",1997,2531311,"Americas",72.262,7121.924704
"793","Japan",1952,86459025,"Asia",63.03,3216.956347
"802","Japan",1997,125956499,"Asia",80.69,28816.58499
"805","Jordan",1952,607914,"Asia",43.158,1546.907807
"814","Jordan",1997,4526235,"Asia",69.772,3645.379572
"817","Kenya",1952,6464046,"Africa",42.27,853.540919
"826","Kenya",1997,28263827,"Africa",54.407,1360.485021
"829","Korea Dem. Rep.",1952,8865488,"Asia",50.056,1088.277758
"838","Korea Dem. Rep.",1997,21585105,"Asia",67.727,1690.756814
"841","Korea Rep.",1952,20947571,"Asia",47.453,1030.592226
"850","Korea Rep.",1997,46173816,"Asia",74.647,15993.52796
"853","Kuwait",1952,160000,"Asia",55.565,108382.3529
"862","Kuwait",1997,1765345,"Asia",76.156,40300.61996
"865","Lebanon",1952,1439529,"Asia",55.928,4834.804067
"874","Lebanon",1997,3430388,"Asia",70.265,8754.96385
"877","Lesotho",1952,748747,"Africa",42.138,298.8462121
"886","Lesotho",1997,1982823,"Africa",55.558,1186.147994
"889","Liberia",1952,863308,"Africa",38.48,575.5729961
"898","Liberia",1997,2200725,"Africa",42.221,609.1739508
"901","Libya",1952,1019729,"Africa",42.723,2387.54806
"910","Libya",1997,4759670,"Africa",71.555,9467.446056
"913","Madagascar",1952,4762912,"Africa",36.681,1443.011715
"922","Madagascar",1997,14165114,"Africa",54.978,986.2958956
"925","Malawi",1952,2917802,"Africa",36.256,369.1650802
"934","Malawi",1997,10419991,"Africa",47.495,692.2758103
"937","Malaysia",1952,6748378,"Asia",48.463,1831.132894
"946","Malaysia",1997,20476091,"Asia",71.938,10132.90964
"949","Mali",1952,3838168,"Africa",33.685,452.3369807
"958","Mali",1997,9384984,"Africa",49.903,790.2579846
"961","Mauritania",1952,1022556,"Africa",40.543,743.1159097
"970","Mauritania",1997,2444741,"Africa",60.43,1483.136136
"973","Mauritius",1952,516556,"Africa",50.986,1967.955707
"982","Mauritius",1997,1149818,"Africa",70.736,7425.705295
"985","Mexico",1952,30144317,"Americas",50.789,3478.125529
"994","Mexico",1997,95895146,"Americas",73.67,9767.29753
"997","Mongolia",1952,800663,"Asia",42.244,786.5668575
"1006","Mongolia",1997,2494803,"Asia",63.625,1902.2521
"1009","Montenegro",1952,413834,"Europe",59.164,2647.585601
"1018","Montenegro",1997,692651,"Europe",75.445,6465.613349
"1021","Morocco",1952,9939217,"Africa",42.873,1688.20357
"1030","Morocco",1997,28529501,"Africa",67.66,2982.101858
"1033","Mozambique",1952,6446316,"Africa",31.286,468.5260381
"1042","Mozambique",1997,16603334,"Africa",46.344,472.3460771
"1045","Myanmar",1952,20092996,"Asia",36.319,331
"1054","Myanmar",1997,43247867,"Asia",60.328,415
"1057","Namibia",1952,485831,"Africa",41.725,2423.780443
"1066","Namibia",1997,1774766,"Africa",58.909,3899.52426
"1069","Nepal",1952,9182536,"Asia",36.157,545.8657229
"1078","Nepal",1997,23001113,"Asia",59.426,1010.892138
"1081","Netherlands",1952,10381988,"Europe",72.13,8941.571858
"1090","Netherlands",1997,15604464,"Europe",78.03,30246.13063
"1093","New Zealand",1952,1994794,"Oceania",69.39,10556.57566
"1102","New Zealand",1997,3676187,"Oceania",77.55,21050.41377
"1105","Nicaragua",1952,1165790,"Americas",42.314,3112.363948
"1114","Nicaragua",1997,4609572,"Americas",68.426,2253.023004
"1117","Niger",1952,3379468,"Africa",37.444,761.879376
"1126","Niger",1997,9666252,"Africa",51.313,580.3052092
"1129","Nigeria",1952,33119096,"Africa",36.324,1077.281856
"1138","Nigeria",1997,106207839,"Africa",47.464,1624.941275
"1141","Norway",1952,3327728,"Europe",72.67,10095.42172
"1150","Norway",1997,4405672,"Europe",78.32,41283.16433
"1153","Oman",1952,507833,"Asia",37.578,1828.230307
"1162","Oman",1997,2283635,"Asia",72.499,19702.05581
"1165","Pakistan",1952,41346560,"Asia",43.436,684.5971438
"1174","Pakistan",1997,135564834,"Asia",61.818,2049.350521
"1177","Panama",1952,940080,"Americas",55.191,2480.380334
"1186","Panama",1997,2734531,"Americas",73.738,7113.692252
"1189","Paraguay",1952,1555876,"Americas",62.649,1952.308701
"1198","Paraguay",1997,5154123,"Americas",69.4,4247.400261
"1201","Peru",1952,8025700,"Americas",43.902,3758.523437
"1210","Peru",1997,24748122,"Americas",68.386,5838.347657
"1213","Philippines",1952,22438691,"Asia",47.752,1272.880995
"1222","Philippines",1997,75012988,"Asia",68.564,2536.534925
"1225","Poland",1952,25730551,"Europe",61.31,4029.329699
"1234","Poland",1997,38654957,"Europe",72.75,10159.58368
"1237","Portugal",1952,8526050,"Europe",59.82,3068.319867
"1246","Portugal",1997,10156415,"Europe",75.97,17641.03156
"1249","Puerto Rico",1952,2227000,"Americas",64.28,3081.959785
"1258","Puerto Rico",1997,3759430,"Americas",74.917,16999.4333
"1261","Reunion",1952,257700,"Africa",52.724,2718.885295
"1270","Reunion",1997,684810,"Africa",74.772,6071.941411
"1273","Romania",1952,16630000,"Europe",61.05,3144.613186
"1282","Romania",1997,22562458,"Europe",69.72,7346.547557
"1285","Rwanda",1952,2534927,"Africa",40,493.3238752
"1294","Rwanda",1997,7212583,"Africa",36.087,589.9445051
"1297","Sao Tome and Principe",1952,60011,"Africa",46.471,879.5835855
"1306","Sao Tome and Principe",1997,145608,"Africa",63.306,1339.076036
"1309","Saudi Arabia",1952,4005677,"Asia",39.875,6459.554823
"1318","Saudi Arabia",1997,21229759,"Asia",70.533,20586.69019
"1321","Senegal",1952,2755589,"Africa",37.278,1450.356983
"1330","Senegal",1997,9535314,"Africa",60.187,1392.368347
"1333","Serbia",1952,6860147,"Europe",57.996,3581.459448
"1342","Serbia",1997,10336594,"Europe",72.232,7914.320304
"1345","Sierra Leone",1952,2143249,"Africa",30.331,879.7877358
"1354","Sierra Leone",1997,4578212,"Africa",39.897,574.6481576
"1357","Singapore",1952,1127000,"Asia",60.396,2315.138227
"1366","Singapore",1997,3802309,"Asia",77.158,33519.4766
"1369","Slovak Republic",1952,3558137,"Europe",64.36,5074.659104
"1378","Slovak Republic",1997,5383010,"Europe",72.71,12126.23065
"1381","Slovenia",1952,1489518,"Europe",65.57,4215.041741
"1390","Slovenia",1997,2011612,"Europe",75.13,17161.10735
"1393","Somalia",1952,2526994,"Africa",32.978,1135.749842
"1402","Somalia",1997,6633514,"Africa",43.795,930.5964284
"1405","South Africa",1952,14264935,"Africa",45.009,4725.295531
"1414","South Africa",1997,42835005,"Africa",60.236,7479.188244
"1417","Spain",1952,28549870,"Europe",64.94,3834.034742
"1426","Spain",1997,39855442,"Europe",78.77,20445.29896
"1429","Sri Lanka",1952,7982342,"Asia",57.593,1083.53203
"1438","Sri Lanka",1997,18698655,"Asia",70.457,2664.477257
"1441","Sudan",1952,8504667,"Africa",38.635,1615.991129
"1450","Sudan",1997,32160729,"Africa",55.373,1632.210764
"1453","Swaziland",1952,290243,"Africa",41.407,1148.376626
"1462","Swaziland",1997,1054486,"Africa",54.289,3876.76846
"1465","Sweden",1952,7124673,"Europe",71.86,8527.844662
"1474","Sweden",1997,8897619,"Europe",79.39,25266.59499
"1477","Switzerland",1952,4815000,"Europe",69.62,14734.23275
"1486","Switzerland",1997,7193761,"Europe",79.37,32135.32301
"1489","Syria",1952,3661549,"Asia",45.883,1643.485354
"1498","Syria",1997,15081016,"Asia",71.527,4014.238972
"1501","Taiwan",1952,8550362,"Asia",58.5,1206.947913
"1510","Taiwan",1997,21628605,"Asia",75.25,20206.82098
"1513","Tanzania",1952,8322925,"Africa",41.215,716.6500721
"1522","Tanzania",1997,30686889,"Africa",48.466,789.1862231
"1525","Thailand",1952,21289402,"Asia",50.848,757.7974177
"1534","Thailand",1997,60216677,"Asia",67.521,5852.625497
"1537","Togo",1952,1219113,"Africa",38.596,859.8086567
"1546","Togo",1997,4320890,"Africa",58.39,982.2869243
"1549","Trinidad and Tobago",1952,662850,"Americas",59.1,3023.271928
"1558","Trinidad and Tobago",1997,1138101,"Americas",69.465,8792.573126
"1561","Tunisia",1952,3647735,"Africa",44.6,1468.475631
"1570","Tunisia",1997,9231669,"Africa",71.973,4876.798614
"1573","Turkey",1952,22235677,"Europe",43.585,1969.10098
"1582","Turkey",1997,63047647,"Europe",68.835,6601.429915
"1585","Uganda",1952,5824797,"Africa",39.978,734.753484
"1594","Uganda",1997,21210254,"Africa",44.578,816.559081
"1597","United Kingdom",1952,50430000,"Europe",69.18,9979.508487
"1606","United Kingdom",1997,58808266,"Europe",77.218,26074.53136
"1609","United States",1952,157553000,"Americas",68.44,13990.48208
"1618","United States",1997,272911760,"Americas",76.81,35767.43303
"1621","Uruguay",1952,2252965,"Americas",66.071,5716.766744
"1630","Uruguay",1997,3262838,"Americas",74.223,9230.240708
"1633","Venezuela",1952,5439568,"Americas",55.088,7689.799761
"1642","Venezuela",1997,22374398,"Americas",72.146,10165.49518
"1645","Vietnam",1952,26246839,"Asia",40.412,605.0664917
"1654","Vietnam",1997,76048996,"Asia",70.672,1385.896769
"1657","West Bank and Gaza",1952,1030585,"Asia",43.16,1515.592329
"1666","West Bank and Gaza",1997,2826046,"Asia",71.096,7110.667619
"1669","Yemen Rep.",1952,4963829,"Asia",32.548,781.7175761
"1678","Yemen Rep.",1997,15826497,"Asia",58.02,2117.484526
"1681","Zambia",1952,2672000,"Africa",42.038,1147.388831
"1690","Zambia",1997,9417789,"Africa",40.238,1071.353818
"1693","Zimbabwe",1952,3080907,"Africa",48.451,406.8841148
"1702","Zimbabwe",1997,11404948,"Africa",46.809,792.4499603
